prompt,fluent(something you could say in the languege),correct gramatically(correct way to ask the question),correct translation,references,original question,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF,,,,,Jak wygląda wzór chemiczny wody? <pad> Wzór chemiczny wody to H2O.</s>
Ile kolorów jest w tęczy?,1,1,1,"Tęcza ma siedem kolorów: czerwony, pomarańczowy, żółty, zielony, niebieski, indygo i fioletowy.",Ile kolorów jest w tęczy?,Siedem.,1-1-1,Ile barw ma tęcza?,Siedem.,1-1-1,Ile kol0rów jest w tęcszy?,Siedem.,1-1-1,Jakie kolory wchodzą w skład tęczy?,"Tęcza składa się z sześciu kolorów: czerwonego, pomarańczowego, żółtego, zielonego, niebieskiego i czerwonego.",1-0-1,Ile colors jest w tęczy?,Siedem.,1-1-1,,,,,"What are trzy states of materii? <pad> Trzy stany materii to: stały, płynny i gazowy.</s>"
Jaka siła przyciąga obiekty w stronę Ziemi?,1,1,1,Ta siła nazywa się grawitacja.,Jaka siła przyciąga obiekty w stronę Ziemi?,"Siła grawitacji jest siłą działającą na obiekty, które przyciągają je do Ziemi. Siła grawitacji jest siłą okołoplanetarną, która działa na wszystkie planety, a obiekty są przyciągane do Ziemi przez jej powierzchnię. Siła grawitacji jest siłą okołoplanetarną, która działa na wszystkie planety, a obiekty są przyciągane do Ziemi przez jej powierzchnię. Siła grawitacji jest siłą okołoplanetar",1-1-1,Która moc ściąga przedmioty ku Ziemi?,"Przyciąganie grawitacyjne jest siłą, która powoduje, że przedmioty przyciągają się do Ziemi. Przyciąganie grawitacyjne jest siłą, która powoduje, że przedmioty przyciągają się do Ziemi, a nie odwrotnie. Przyciąganie grawitacyjne jest siłą, która powoduje, że przedmioty przyciągają się do Ziemi, a nie odwrotnie. Przyciąganie grawitacyjne jest siłą, która powoduje, że przedmioty przyciągają się do Ziem",1-1-1,Jaka sila przysciąga obiekty w stroę Ziemi?,Silą przyciągania obiektów w stroę Ziemi jest grawitacja.,1-1-1,"Co powoduje, że rzeczy spadają na Ziemię?","Obiekty spadają na Ziemię z powodu siły grawitacyjnej, która działa na nie. Siła grawitacji jest siłą, która powoduje, że przedmioty poruszają się w kierunku osi i ciągną się w kierunku osi. W przypadku obiektów ciężkich, siła grawitacji jest silniejsza niż siła grawitacji obiektów lżejszych.",1-1-1,Jaka force przyciąga obiekty w stronę Ziemi?,"Gęstość Ziemi jest siłą, która przyciąga obiekty w stronę Ziemi. Gęstość Ziemi jest około 9,81 metrów na sekundę kwadratową, a obiekty są przyciągane do Ziemi przez siłę grawitacji. Gęstość Ziemi jest siłą, która powoduje, że obiekty są przyciągane do Ziemi, a obiekty są przyciągane do Ziemi przez siłę grawitacji. Gęstość Ziemi jest siłą, która powod",0-0-1,,,,,"Co następuje z wodą, gdy temperatura spada poniżej zera? <pad> Gdy temperatura spada poniżej zera, woda staje się ciecz.</s>"
Jaka jest najtwardsza naturalna substancja na Ziemi?,1,1,1,Najtwardszą naturalną substancją jest diament.,Jaka jest najtwardsza naturalna substancja na Ziemi?,Diamant jest najtwardszą naturalną substancją na Ziemi.,0-1-1,Która substancja naturalna jest najbardziej odporna na Ziemi?,Miedź jest najbardziej odpornym surowcem na Ziemi.,1-0-1,Jaka jest najtwadsza naturalna substancja na Zieemi?,Beryl jest najtwadszą naturalną substancją na Ziemi.,1-0-1,Co jest najtwardszym materiałem występującym w naturze?,Diamant jest najtwardszym materiałem występującym w naturze.,0-1-1,Jaka jest najtwardsza naturalna substance na Ziemi?,Diamant jest najtwardszą naturalną substancją na Ziemi.,0-1-1,,,,,"Co dzieje się z woda, gdy robi się wystarczająco zimmno? <pad> Kiedy woda staje się wystarczająco zimna, staje się ciecz.</s>"
Dlaczego lód unosi się na wodzie?,1,1,1,"Lód unosi się na wodzie, ponieważ ma mniejszą gęstość niż woda.",Dlaczego lód unosi się na wodzie?,"Dlatego, że lód ma mniejszą gęstość, unosi się na wodzie",1-1-1,Czemu lód pływa na wodzie?,"Dlatego że lód ma mniejsze ciśnienie, pływa na wodzie",1-0-1,Dlaczeo lód un0si się na wodze?,"Dlatego że lód ma mniejszą gęstość, unosi się na wodzie",1-1-1,"Co sprawia, że lód nie tonie w wodzie?","W wodzie lód ma mniejszą gęstość, więc tonie",1-0-1,Dlaczego ice unosi się na wodzie?,"Sól ma mniejszą gęstość, więc unosi się na wodzie",1-0-1,,,,,"Jak reaguje woda, gdy zostaje bardzo ochłodzona? <pad> W wyniku zmiany temperatury cząsteczki wody stają się mniej gęstsze i tworzą kryształy.</s>"
Dlaczego piłka tocząca się po ziemi w końcu przestaje się poruszać?,1,1,1,"Z powodu tarcia między piłką a podłożem, które ją stopniowo spowalnia.",Dlaczego piłka tocząca się po ziemi w końcu przestaje się poruszać?,"W końcu piłka przestanie się poruszać, ponieważ ziemia tworzy na niej siłę, która ją trzyma.",1-0-1,Czemu kula tocząca się po podłożu ostatecznie się zatrzymuje?,"Dla kuli prędkość obrotowa jest równa prędkości, z jaką się obraca. Jeśli prędkość obrotowa jest większa niż prędkość, w której się obraca, kula się zatrzymuje.",1-0-1,Dlacsego piłka toczaca się po zemi w końcu przestaje się porusac?,"W zależności od tego, jak długo piłka się toczy,         może się ona utrzymać w ruchu przez określony czas. Jeśli piłka jest zbyt krótka, może się zatrzymać i nie poruszać się dalej. Jeśli piłka jest zbyt długa, może się zatrzymać i nie poruszać się dalej.",1-0-1,Co powoduje zatrzymanie toczącej się piłki?,"Przyciąganie. Jeśli użyjesz przyciągacza do przyciągania piłki, piłka będzie się obracać w kierunku przeciwnym do kierunku, w jakim się obraca.",1-0-1,Dlaczego ball przestaje się poruszać?,"Jest kilka powodów, dla których ball przestaje się poruszać. Jednym z powodów jest to, że ciało piłeczki staje się zbyt ciężkie lub zbyt ciężkie, aby poruszać się. Jeśli ciało piłeczki jest zbyt ciężkie lub zbyt ciężkie, może przestać poruszać się. Innym powodem jest to, że ciało piłeczki jest zbyt twarde lub zbyt miękkie, aby poruszać się. Jeśli ciało pił",0-0-0,,,,,"What happens z wodą, when robi się cold enough? <pad> When water becomes cold enough, it becomes a gas.</s>"
Jak nazywa się załamanie światła przechodzącego przez wodę lub szkło?,1,1,1,To zjawisko nazywa się załamaniem światła lub refrakcją.,Jak nazywa się załamanie światła przechodzącego przez wodę lub szkło?,Załamanie światła przechodzącego przez wodę lub szkło nazywa się refrakcją.,1-1-1,W jaki sposób określamy zmianę kierunku światła w wodzie lub szkle?,"Zmiana kierunku światła w wodzie lub szkle nazywa się refrakcją. Refrakcja jest właściwością światła, która powoduje, że światło przechodzi przez powierzchnię o określonym kącie i wraca do źródła. Refrakcja jest ważna, ponieważ pozwala nam zobaczyć zmianę kierunku światła w określonym momencie. Refrakcja jest również ważna, ponieważ pozwala nam zobaczyć zmianę kierunku światła w",1-1-1,Jak nazyw sie załamanie światla przechodzacego przez wode lub szlko?,Światło przechodzące przez wodę lub szlachetny materiał nazywa się odbiciem.,1-0-1,Co to jest zmiana kierunku światła podczas przechodzenia przez wodę lub szkło?,"Światło zmienia kierunek podczas przechodzenia przez wodę lub szkło z powodu zmiany kąta rozpraszania. Kąt rozpraszania jest kątem, w którym światło przechodzi przez przedmiot, a kąt odbicia jest kątem, w którym światło przechodzi przez przedmiot. Kiedy światło przechodzi przez wodę lub szkło, kąt rozpraszania zmienia się, ponieważ światło przechodzi przez przedmiot w kierunku przeciwnym do kierunku odbicia. To powod",1-0-1,Jak nazywa się refraction światła przez wodę lub szkło?,Zjawisko to nazywa się refrakcja.,1-1-1,,,,,Co stanowi najmniejszy element materii? <pad> Atom to najmniejszy element materii.</s>
Dlaczego balon z helem unosi się w powietrze?,1,1,1,"Hel jest lżejszy od powietrza, dlatego balon helowy unosi się do góry.",Dlaczego balon z helem unosi się w powietrze?,"W balonie z helem jest powietrze, które powoduje, że balon unosi się w powietrze. Powietrze jest lżejsze od powietrza, więc gdy balon jest wypełniony powietrzem, powietrze staje się lżejsze i balon unosi się w powietrze.",0-0-1,Czemu balonik z helem leci do góry?,"W balonie z helem powietrze jest wyższe niż w powietrzu, więc gdy powietrze się w nim znajduje, powietrze w balonie staje się wyższe i leci do góry.",1-0-1,Dlacsego balon z helem un0si się w powietrze?,"Odpowiedź: balon z helem unosi się w powietrze, ponieważ powietrze znajduje się w jego środku.",1-0-1,"Co sprawia, że balon napełniony helem unosi się w górę?","Podczas gdy powietrze jest lżejsze od helium, helium ma większą gęstość i unosi się w górę niż powietrze.",0-0-0,Dlaczego balon z helium unosi się w powietrze?,"W balonie z helium jest mniej powietrza niż w powietrzu, więc unosi się w powietrze.",1-0-0,,,,,Jaka jest najmniejszaa jednostka materii? <pad> Najmniejszą jednostką materii jest atom.</s>
Dlaczego po upuszczeniu pióro spada wolniej niż kamień?,1,1,1,"Piórko ma większy opór powietrza w stosunku do swojej masy, co spowalnia jego spadanie.",Dlaczego po upuszczeniu pióro spada wolniej niż kamień?,"Kamień ma większą siłę grawitacji niż pióro, co powoduje, że spada wolniej.",1-0-1,Czemu piórko leci wolniej od kamienia?,"Większość naukowców uważa, że piórko leci wolniej od kamienia z powodu jego mniejszej masy i większej prędkości. To wynika z faktu, że piórko jest o wiele mniejsze i może poruszać się wolniej niż kamień, który jest większy i bardziej skomplikowany.",1-0-1,Dlacsego po upuszczniu pióro spada wolneij niz kamień?,"Kamień ma większą masę niż pióro, więc pióro spada wolniej.",1-0-1,"Co powoduje, że lekkie pióro opada wolniej od ciężkiego kamienia?","Większość rzeczy opada wolniej z powodu siły działającej na przedmioty. Siła działająca na przedmioty jest określana przez siłę grawitacji. Siła grawitacji jest siłą, która działa na przedmioty, które powoduje, że przedmioty opadają. Siła grawitacji jest określana przez gęstość przedmiotu. Gęstość przedmiotu jest określana przez jego masę. Gęstość przedmiotu jest określana przez jego objęt",1-0-1,Dlaczego feather spada wolniej niż kamień?,"Feather ma mniejszą siłę tarcia niż kamień, co oznacza, że spada wolniej.",1-0-0,,,,,Co jest podstawową jednostką budowy materii? <pad> Jest to atom.</s>
"Jak nazywa się niewidzialna siła, która sprawia, że ​​magnes przyciąga pewne przedmioty?",1,1,1,Ta siła nazywa się magnetyzm.,"Jak nazywa się niewidzialna siła, która sprawia, że ​​magnes przyciąga pewne przedmioty?",Siła ta nazywa się siłą przyciągania.,1-0-1,W jaki sposób określamy siłę działania magnesu?,Siła działania magnesu określana jest przez stosunek masy magnesu do objętości.,1-0-1,"Jak nazyw sie niewidzilna sila, ktora sprawia, że magns przysciąga rzeczy?",Przyciąganie magnetyczne.,1-1-1,"Co to za siła, która działa w magnesach?","Siła działająca w magnesach to siła grawitacji. Siła grawitacji jest siłą, która działa na przedmioty, które są przyciągane do siebie przez odległość i kierunek. Siła grawitacji jest siłą, która działa na przedmioty, które są przyciągane do siebie przez odległość i kierunek. Siła grawitacji jest siłą, która działa na przedmioty, które są przyciągane do siebie przez odległość i",1-0-1,Jak nazywa się invisible force magnesu?,Siła magnetyczna,1-1-1,,,,,What is the smallest unit of materii? <pad> The smallest unit of matter is called a proton. A proton is the smallest unit of matter that exists. It is the fundamental unit of matter and is responsible for the formation of all matter in the universe.</s>
"Dlaczego podczas burzy widzimy błyskawicę, zanim usłyszymy grzmot?",1,1,1,"Ponieważ światło rozchodzi się szybciej niż dźwięk, widzimy błysk wcześniej, niż słyszymy grzmot.","Dlaczego podczas burzy widzimy błyskawicę, zanim usłyszymy grzmot?",Błyskawica jest wynikiem zmiany ciśnienia w atmosferze. W wyniku zmiany ciśnienia w atmosferze powietrze w powietrzu staje się chłodniejsze i mniej skoncentrowane. W wyniku tego powietrze w powietrzu staje się mniej skoncentrowane i mniej chłodne. W wyniku tego powietrze w powietrzu staje się mniej skoncentrowane i mniej chłodne. W wyniku tego powietrze w powietrzu staje się,1-0-1,"Czemu najpierw pojawia się błysk, a dopiero później dźwięk?","Błysk i dźwięk są związane ze sobą, ponieważ światło i energia są przekazywane przez atomy w naszym ciele. Atomy są cząsteczkami, które są umieszczone w przestrzeni i tworzą dźwięki. Błysk jest sygnałem elektromagnetycznym, który jest emitowany przez atomy. Jest to krótki impuls elektryczny, który jest emitowany przez atomy. Błysk jest sygnałem elektromagnetycznym, który jest emitowany przez atomy.",1-0-1,Dlaczeo podczas burz widzmy błyskawicę zanim uslyszymy grzmot?,"Błyskawica jest spowodowana zmianą ciśnienia w atmosferze. W wyniku zmiany ciśnienia w atmosferze powietrze w atmosferze staje się chłodniejsze i mniej skoncentrowane. W wyniku tego powietrze w atmosferze jest bardziej rozproszone i może być widoczne w postaci błyskawicy. Gdy powietrze w atmosferze jest chłodniejsze, może być widoczne w postaci grzmotu. Gdy powietrze w atmosferze jest",1-0-1,"Co sprawia, że błysk pojawia się przed grzmotem podczas burzy?","Błysk pojawia się przed grzmotem, ponieważ ujemne napięcie w powietrzu powoduje, że cząsteczki w powietrzu tworzą krótkie, słabe prądy elektryczne. Kiedy powietrze jest zbyt gorące, cząsteczki w powietrzu mogą się skręcić i tworzyć prądy elektryczne, które powodują błysk.",1-0-1,"Dlaczego podczas storm widzimy błyskawicę, zanim usłyszymy grzmot?","Błyskawica jest spowodowana zmianą ciśnienia w atmosferze. W wyniku zmiany ciśnienia w atmosferze, powietrze w powietrzu staje się chłodniejsze i mniej skoncentrowane. Kiedy powietrze w powietrzu staje się chłodniejsze, powietrze w powietrzu staje się mniej skoncentrowane i może być widoczne błyskawica. Kiedy powietrze w powietrzu staje się chłodniejsze, powietrze w powietrzu staje się",1-0-1,,,,,Który gaz jest nam niezbędny do oddychania? <pad> tlen</s>
Jak nazywa się najbliższa Ziemi gwiazda?,1,1,1,Najbliższą gwiazdą względem Ziemi jest Słońce.,Jak nazywa się najbliższa Ziemi gwiazda?,"Gwiazda, która jest najbliższa Ziemi, nazywa się Proxima Centauri.",1-0-1,Która gwiazda jest położona najbliżej Ziemi?,"Gwiazda, która jest najbliżej Ziemi, to Proxima Centauri, czyli gwiazda o średnicy około 4,5 miliona kilometrów.",1-0-1,Jak nazywa się najbliższa Zieemi gwiazda?,"Gwiazda, która jest najbliżej Ziemi, nazywa się Proxima Centauri.",1-0-1,Co jest najbliższą Ziemi gwiazdą?,"Gwiazda, która jest najbliżej Ziemi, to Proxima Centauri, która znajduje się w odległości około 150 milionów lat świetlnych.",1-0-1,Jak nazywa się closest gwiazda Ziemi?,"Gwiazda, która jest najbliżej Ziemi, nazywa się Proxima Centauri.",1-0-1,,,,,"Jakim gazem wdychamy, aby przezyźć? <pad> Wdychamy tlen, aby przetrwać.</s>"
Co to jest rok świetlny?,1,1,1,"Rok świetlny to odległość, jaką światło pokonuje w próżni w ciągu jednego roku.",Co to jest rok świetlny?,"Rok świetlny to czas, jaki zajmuje podróż planety wokół Słońca.",1-0-1,Czym jest jednostka zwana rokiem świetlnym?,"Rok świetlny to jednostka astronomiczna, która oznacza odległość, jaką światło przechodzi przez jeden punkt na Ziemi.",1-0-1,Co to jeest rok świetnly?,"Rok świetny to czas, w którym Ziemia znajduje się w określonym stanie równowagi.",1-0-1,"Jak nazywamy odległość, jaką pokonuje światło w rok?",Jest to odległość około 299 792 458 metrów.,1-0-1,Co to jest light year?,Jedna roczna świetlna (lub rok światła) to czas potrzebny na przejechanie jednego okręgu wokół Słońca.,1-0-1,,,,,"Jaki gaz musimy wdychać, żeby żyć? <pad> Wdychamy tlen.</s>"
Ile księżyców ma Ziemia?,1,1,1,"Ziemia ma jeden naturalny księżyc, zwany Księżycem.",Ile księżyców ma Ziemia?,Ziemia ma dwa księżyce.,1-0-1,Jaka jest liczba naturalnych satelitów Ziemi?,Dwa: Wenus i Mars.,1-0-1,Ile ksieżyców ma Ziemia?,Ziemia ma jeden księżyc.,1-1-1,Jak dużo księżyców krąży wokół Ziemi?,W 2023 roku wokół Ziemi krąży 93 księżyce.,1-0-1,Ile moons ma Ziemia?,Ma Ziemia turi du mėnesius.,0-0-0,,,,,"Jakim gasem we inhale to survive? <pad> Gas, ki ga dihamo, je kisik.</s>"
Jaka jest największa planeta w naszym Układzie Słonecznym?,1,1,1,Największą planetą jest Jowisz.,Jaka jest największa planeta w naszym Układzie Słonecznym?,Wszechświat jest największym obiektem w naszym Układzie Słonecznym. Jego powierzchnia wynosi 120 razy większa niż Ziemia.,0-0-1,Która planeta jest największa w Układzie Słonecznym?,"Wszechświat jest ogromnym miejscem i może być bardzo zróżnicowany. W zależności od tego, która planeta jest najbliżej Słońca, może być uważana za największą planetę w Układzie Słonecznym. Jeśli chodzi o planety w układzie Słonecznym, największą planetą jest Wenus. Wenus jest trzecią planetą w Układzie Słonecznym i jest największym obiektem w układzie. Jest również największ",1-0-1,Jaka jest najwększa planeta w naszym Ukladzie Słonczenym?,"Wszechświat Wenus jest najwększym obiektem w naszym Układzie Słonczym. Jego masa wynosi około 4,5 razy większa od masy Ziemi.",0-0-1,Która planeta w naszym Układzie Słonecznym jest największa?,Słońce.,1-0-1,Jaka jest największa planet w Układzie Słonecznym?,Wszechświat jest największym obiektem w Układzie Słonecznym. Jego powierzchnia wynosi 120 razy większa niż Ziemia.,1-0-1,,,,,W którym zjawisku ciecz staje się gazem bez osiągania temperatury wrzenia? <pad> W stanie ciekłym.</s>
Jak nazywa się grupa planet krążących wokół gwiazdy?,1,1,1,Taka grupa nazywa się układem planetarnym.,Jak nazywa się grupa planet krążących wokół gwiazdy?,Grupa planet nazywa się ewolucją.,1-0-1,Jak określamy zespół planet otaczających gwiazdę?,Zespół planet otaczających gwiazdę nazywa się ekosystemem.,1-0-1,Jak nazywa się grupa planett krążących wółok gwiazdy?,Grupa planet nazywa się gromadą.,1-0-1,Co to jest zbiór planet krążących wokół jednej gwiazdy?,Grupa planet krążących wokół jednej gwiazdy nazywa się ekliptiką.,1-0-1,Jak nazywa się system planet wokół gwiazdy?,System planet wokół gwiazdy nazywa się układem planet.,1-1-1,,,,,W jakim procesie ciecz zamienia się w gaz ponizej temperatury wrzeniaa? <pad> Sublimacja</s>
